drive_id,drive_start,drive_end
2016_01_NYG_DAL_16,Punt,Touchdown
2016_01_NYG_DAL_17,Kickoff,Punt
2016_01_NYG_DAL_18,Punt,Punt
2016_01_OAK_NO_1,Kickoff,Turnover
2016_01_OAK_NO_2,Fumble,Field Goal
2016_01_OAK_NO_3,Kickoff,Field Goal
2016_01_OAK_NO_4,Kickoff,Touchdown
2016_01_OAK_NO_5,Kickoff,Touchdown
2016_01_OAK_NO_6,Kickoff,Punt
2016_01_OAK_NO_7,Punt,Touchdown
2016_01_OAK_NO_8,Kickoff,Punt
2016_01_OAK_NO_9,Punt,Punt
2016_01_OAK_NO_11,Kickoff,Punt
2016_01_OAK_NO_12,Punt,Punt
2016_01_OAK_NO_13,Punt,Punt
2016_01_OAK_NO_15,Kickoff,Field Goal
2016_01_OAK_NO_16,Kickoff,Field Goal
2016_01_OAK_NO_18,Kickoff,Field Goal
2016_01_OAK_NO_19,Kickoff,Touchdown
2016_01_OAK_NO_20,Kickoff,Touchdown
2016_01_OAK_NO_21,Kickoff,Touchdown
2016_01_OAK_NO_22,Kickoff,Field Goal
2016_01_PIT_WAS_1,Kickoff,Punt
2016_01_PIT_WAS_2,Punt,Punt
2016_01_PIT_WAS_3,Punt,Field Goal
2016_01_PIT_WAS_4,Kickoff,Turnover
2016_01_PIT_WAS_5,Interception,Field Goal
2016_01_PIT_WAS_6,Kickoff,Touchdown
2016_01_PIT_WAS_7,Kickoff,Turnover
2016_01_PIT_WAS_8,Fumble,Touchdown
2016_01_PIT_WAS_10,Kickoff,Field Goal
2016_01_PIT_WAS_11,Kickoff,Turnover
2016_01_PIT_WAS_12,Interception,Touchdown
2016_01_PIT_WAS_13,Kickoff,Field Goal
2016_01_PIT_WAS_14,Kickoff,Punt
2016_01_PIT_WAS_15,Punt,Touchdown
2016_01_PIT_WAS_16,Kickoff,Touchdown
2016_01_PIT_WAS_17,Kickoff,Turnover
2016_01_PIT_WAS_18,Fumble,Touchdown
2016_01_PIT_WAS_19,Kickoff,Turnover
2016_01_SD_KC_1,Kickoff,Field Goal
2016_01_SD_KC_2,Kickoff,Touchdown
2016_01_SD_KC_3,Kickoff,Punt
2016_01_SD_KC_4,Punt,Touchdown
2016_01_SD_KC_5,Kickoff,Punt
2016_01_SD_KC_6,Punt,Touchdown
2016_01_SD_KC_7,Kickoff,Punt
2016_01_SD_KC_8,Punt,Punt
2016_01_SD_KC_9,Punt,Punt
2016_01_SD_KC_11,Kickoff,Punt
2016_01_SD_KC_12,Punt,Punt
2016_01_SD_KC_13,Punt,Field Goal
2016_01_SD_KC_14,Kickoff,Touchdown
2016_01_SD_KC_15,Kickoff,Field Goal
2016_01_SD_KC_16,Kickoff,Turnover
2016_01_SD_KC_17,Interception,Field Goal
2016_01_SD_KC_19,Kickoff,Punt
2016_01_SD_KC_20,Punt,Field Goal
2016_01_SD_KC_21,Kickoff,Punt
2016_01_SD_KC_22,Punt,Touchdown
2016_01_SD_KC_23,Kickoff,Punt
2016_01_SD_KC_24,Punt,Touchdown
2016_01_TB_ATL_1,Kickoff,Punt
2016_01_TB_ATL_2,Punt,Field Goal
